ChEMBL_ID,UniProt_Accession
CHEMBL1983268,Q92918
CHEMBL1983268,Q5VT25
CHEMBL1983268,P61026
CHEMBL1983268,Q00534
CHEMBL1983268,P36888
CHEMBL1983268,P49411
CHEMBL1983268,Q00536
CHEMBL1983268,P53671
CHEMBL1983268,P07741
CHEMBL1983268,Q8N4C8
CHEMBL1983268,O76039
CHEMBL1983268,P24941
CHEMBL1983268,P20248
CHEMBL1983268,P07948
CHEMBL1983268,O15530
CHEMBL1983268,P34947
CHEMBL1983268,P11388
CHEMBL1983268,P13861
CHEMBL1983268,P50613
CHEMBL1983268,Q9BQI3
CHEMBL1983268,Q6JQN1
CHEMBL1983268,P00533
CHEMBL1983268,Q7Z406
CHEMBL1983268,P11309
CHEMBL1983268,Q9Y463
CHEMBL1983268,Q15759
CHEMBL1983268,P0DTD1
CHEMBL1983268,P04899
CHEMBL1983268,Q13555
CHEMBL1983268,P46734
CHEMBL1983268,Q06187
CHEMBL1983268,Q05655
CHEMBL1983268,Q9UK32
CHEMBL1983268,Q13873
CHEMBL1983268,Q16513
CHEMBL1983268,Q8IW41
CHEMBL1983268,Q9Y243
CHEMBL1983268,Q9UM73
CHEMBL1983268,Q9HC35
CHEMBL1983268,P35968
CHEMBL1983268,P08069
CHEMBL1983268,Q9H773
CHEMBL1983268,Q7L7X3
CHEMBL1983268,Q5HYI8
CHEMBL1983268,Q96RR4
CHEMBL1983268,Q8IU85
CHEMBL1983268,O94806
CHEMBL1983268,Q00526
CHEMBL1983268,P51956
CHEMBL1983268,P45983
CHEMBL1983268,P67870
CHEMBL1983268,P68400
CHEMBL1983268,P19784
CHEMBL1983268,Q05397
CHEMBL1983268,Q15569
CHEMBL1983268,Q9H0K1
CHEMBL1983268,Q16539
CHEMBL1983268,Q9UBU7
CHEMBL1983268,O00311
CHEMBL1983268,P04629
CHEMBL1983268,P54760
CHEMBL1983268,Q8IVH8
CHEMBL1983268,P23443
CHEMBL1983268,P35916
CHEMBL1983268,P22607
CHEMBL1983268,P52564
CHEMBL1983268,Q9UHD8
CHEMBL1983268,O00311
CHEMBL1983268,Q9UEE5
CHEMBL1983268,P07947
CHEMBL1983268,P51451
CHEMBL1983268,P38117
CHEMBL1983268,P16083
CHEMBL1983268,P30086
CHEMBL1983268,O14976
CHEMBL1983268,Q13164
CHEMBL1983268,Q86TW2
CHEMBL1983268,P27707
CHEMBL1983268,Q13705
CHEMBL1983268,Q9Y2K2
CHEMBL1983268,Q01813
CHEMBL1983268,Q16644
CHEMBL1983268,P49841
CHEMBL1983268,Q9NSY1
CHEMBL1983268,P48729
CHEMBL1983268,Q9NTK5
CHEMBL1983268,O75676
CHEMBL1983268,Q15746
CHEMBL1983268,P36507
CHEMBL1983268,Q9Y572
CHEMBL1983268,Q15131
CHEMBL1983268,O15197
CHEMBL1983268,Q2M2I8
CHEMBL1983268,Q99683
CHEMBL1983268,Q9H093
CHEMBL1983268,P54819
CHEMBL1983268,P54764
CHEMBL1983268,Q00537
CHEMBL1983268,Q13043
CHEMBL1983268,Q08345
CHEMBL1983268,P15735
CHEMBL1983268,Q9UM73
CHEMBL1983268,Q9P0J0
CHEMBL1983268,P53667
